skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017
kitchen,no_filter,,730,1507,589
knives,no_filter,,2,6,9
know your customer,subsuper,"customer acquisition,customer advocacy,customer analysis,customer analytics,customer care,customer communication,customer development,customer driven,customer engagement,customer experience,customer focus,customer insight,customer intelligence,customer interaction,customer journeys,customer loyalty,customer management,customer marketing,customer negotiations,customer oriented,customer presentations,customer profitability,customer quality,customer reference,customer relations,customer relationship,customer research,customer retention,customer satisfaction,customer segmentation,customer service,customer services,customer success,customer support,customer surveys,building customer loyalty,customer acquisition strategies,customer centric solutions,customer due diligence,customer escalation management,customer experience design,customer experience management,customer information databases,customer journey mapping,customer lifecycle management,customer product training,customer relations management,customer relationship management,customer segmentation strategy,customer service management,customer service operations,customer service representatives,customer service training,customer value proposition,global customer service,new customer acquisitions,outstanding customer service",41,34,24
ladders,no_filter,,10,18,14
landlord,no_filter,,84,9,6
landlords,no_filter,,59,14,7
language skills,subsuper,"analytical skills,assembly language,body language,chinese language,clerical skills,clinical skills,communication skills,communicative skills,computer language,computer skills,coordinating skills,coordination skills,creativity skills,culinary skills,drawing skills,editorial skills,entrepreneurial skills,interpersonal skills,interview skills,interviewing skills,intrapersonal skills,it skills,japanese language,keyboard skills,korean language,laboratory skills,language arts,language development,language disorders,language learning,language proficiency,language services,language teaching,leadership skills,life skills,listening skills,management skills,managerial skills,multitasking skills,negotiation skills,organisational skills,organization skills,organizational skills,people skills,phone skills,powerpoint skills,presentation skills,prospecting skills,reasoning skills,secretarial skills,selling skills,sign language,social skills,soft skills,study skills,supervisory skills,teaching skills,telephone skills,thai language,training skills,writing skills,audit command language,client facing skills,client interfacing skills,decision making skills,exceptional people skills,executive presentation skills,good communication skills,good interpersonal skills,great people skills,high analytical skills,interpersonal communication skills,natural language processing,problem solving skills,program management skills,proven leadership skills,public relations skills,report writing skills,sales skills training,solid computer skills,strategic selling skills,strong analytical skills,structured query language,vendor management skills",51,1258,0
large format printing,subsuper,"printing,3d printing,digital printing,large deals,large format,large format,offset printing,printing solutions,screen printing,large format printers,large format printers,large scale events,large scale systems,leading large teams",3,6,8
leadership initiatives,subsuper,"leadership,branding initiatives,business initiatives,business leadership,change leadership,design leadership,educational leadership,ethical leadership,executive leadership,global leadership,group leadership,inspiring leadership,interpersonal leadership,it leadership,leadership assessment,leadership development,leadership management,leadership mentoring,leadership skill,leadership skills,leadership training,lean initiatives,marketing leadership,organisational leadership,organizational leadership,people leadership,personnel leadership,project leadership,safety leadership,sales leadership,servant leadership,strategic initiatives,strategic leadership,student leadership,team leadership,technical leadership,technology leadership,thought leadership,training leadership,transformational leadership,cost saving initiatives,global hr leadership,leadership and management,leadership development coaching,proven leadership skills,senior executive leadership,strategic business initiatives,strategic sales initiatives",9,0,5
leading large teams,subsuper,"global teams,large deals,large format,leading change,leading people,leading projects,virtual teams,high performance teams,large format printers,large format printing,large scale events,large scale systems,leading development teams,leading development teams,managing offshore teams",0,11,13
leading people,subsuper,"connecting people,engaging people,inspiring people,leading change,leading projects,people development,people leadership,people management,people skills,young people,development of people,exceptional people skills,great people skills,leading development teams,leading large teams",2,21,21
leading projects,subsuper,"capital projects,commercial projects,curatorial projects,development projects,greenfield projects,hospitality projects,infrastructure projects,leading change,leading people,migration projects,offshore projects,pilot projects,regulatory projects,research projects,residential projects,sap projects,special projects,turnkey projects,business intelligence projects,cost saving projects,leading development teams,leading large teams,manage complex projects,process improvement projects",28,74,59
learning solutions,subsuper,"learning,action learning,active learning,adaptive learning,backup solutions,banking solutions,billing solutions,blended learning,business solutions,cloud solutions,collaboration solutions,collaborative learning,creative solutions,deep learning,designing learning,digital learning,distance learning,enterprise solutions,experiential learning,fast learning,hr solutions,infrastructure solutions,it solutions,language learning,learning management,learning styles,lifelong learning,liquidity solutions,machine learning,mobile learning,mobile solutions,mobility solutions,networking solutions,office solutions,organizational learning,outsourced solutions,payment solutions,pos solutions,presenting solutions,printing solutions,reinforcement learning,sap solutions,self learning,service learning,social learning,software solutions,solutions design,solutions development,solutions marketing,statistical learning,storage solutions,technology solutions,virtualization solutions,wireless solutions,workflow solutions,workplace solutions,adult learning theory,assessment for learning,cost reduction solutions,customer centric solutions,emc storage solutions,learning and development,learning management systems,learning needs analysis,peoplesoft campus solutions,professional learning communities",51,18,21
lecturer,no_filter,,73,66,43
leisure,subsuper,leisure travel,62,121,59
lessons learned,no_filter,,131,44,35
letter of credit,subsuper,"credit,corporate credit,credit administration,credit analysis,credit bureau,credit cards,credit control,credit derivatives,credit evaluation,credit insurance,credit management,credit monitoring,credit rating,credit reports,credit review,credit risk,credit scoring,credit trading,letter writing,trade credit,basics of unix,bill of lading,bill of materials,board of directors,center of excellence,code of conduct,code of ethics,community of practice,conflict of interest,credit card machines,credit card processing,credit portfolio management,credit risk management,design of experiment,design of experiments,development of employees,development of people,development of sales,development of strategy,fund of funds,internet of things,letters of credit,letters of credit,management of change,master of ceremonies,mentoring of staff,ministry of defence,organization of events,philosophy of mind,point of purchase,powers of attorney,preparation of reports,proof of concept,rule of law,segregation of duties,sense of responsibility,trade credit insurance",87,115,71
library,subsuper,"enterprise library,library management,library research",382,460,356
lifestyle,subsuper,"healthy lifestyle,lifestyle brands,lifestyle management,lifestyle photography,luxury lifestyle",145,208,199
limousines,no_filter,,3,0,0
lingerie,no_filter,,1,1,1
listener,no_filter,,14,213,215
logical thinker,subsuper,"logical approach,quick thinker,logical data modeling",1,41,53
logo,subsuper,logo design,44,11,5
long term care,subsuper,"acute care,ambulatory care,animal care,cardiac care,care planning,critical care,customer care,dental care,elder care,hair care,home care,horse care,managed care,nail care,nursing care,oral care,palliative care,pastoral care,personal care,pharmaceutical care,primary care,respiratory care,skin care,term deposits,term sheets,wound care,advance care planning,critical care medicine,diabetic foot care,direct patient care,health care compliance,health care systems,long range planning,mental health care,quality patient care,skin care products",19,10,13
love to learn,subsuper,"adaptable to changes,attention to detail,attention to details,chinese to english,committed to work,dedicated to work,dedication to work,determination to succeed,determined to succeed,direct to consumer,eagerness to learn,eagerness to learn,english to chinese,english to japanese,free to play,freedom to operate,japanese to english,listening to customers,mark to market,order to cash,passion to succeed,permit to work,presenting to clients,procure to pay,quote to cash,ready to learn,ready to learn,record to report,waste to energy",4,58,9
loyal,no_filter,,71,38,31
magic,no_filter,,27,22,7
managing database,subsuper,"database,access database,database admin,database administration,database analysis,database applications,database design,database development,database management,database marketing,database modeling,database queries,database security,database servers,database software,database systems,database testing,managing accounts,managing deadlines,managing events,managing finances,managing meetings,managing processes,oracle database,teradata database,database management software,database management system,database management systems,managing agency relationships,managing complex sales,managing it infrastructure,managing key accounts,managing media relations,managing offshore teams,managing project budgets,oracle database administration,sql database design",9,28,6
managing deadlines,subsuper,"managing accounts,managing database,managing events,managing finances,managing meetings,managing processes,meet deadlines,managing agency relationships,managing complex sales,managing it infrastructure,managing key accounts,managing media relations,managing offshore teams,managing project budgets",4,6,6
managing events,subsuper,"business events,charity events,coordinate events,coordinating events,corporate events,events coordination,events management,events marketing,events organisation,events organizing,events planning,executing events,hosting events,international events,launch events,live events,major events,managing accounts,managing database,managing deadlines,managing finances,managing meetings,managing processes,media events,music events,networking events,private events,social events,special events,large scale events,managing agency relationships,managing complex sales,managing it infrastructure,managing key accounts,managing media relations,managing offshore teams,managing project budgets,organization of events,product launch events,tibco business events",15,19,25
managing it infrastructure,subsuper,"infrastructure,adapt it,converged infrastructure,green infrastructure,green it,healthcare it,infrastructure management,infrastructure planning,infrastructure projects,infrastructure security,infrastructure services,infrastructure solutions,it architecture,it audit,it auditors,it compliance,it consultancy,it consulting,it controls,it development,it governance,it grc,it helpdesk,it infrastructure,it infrastructure,it law,it leadership,it management,it operations,it outsourcing,it portfolio,it procurement,it recruitment,it risk,it sales,it savvy,it security,it skills,it solutions,it sourcing,it strategy,it support,it training,it transformation,lean it,managing accounts,managing database,managing deadlines,managing events,managing finances,managing meetings,managing processes,microsoft infrastructure,network infrastructure,telecom infrastructure,vmware infrastructure,data center infrastructure,enterprise it infrastructure,enterprise it infrastructure,global it operations,it asset management,it business management,it financial management,it infrastructure design,it infrastructure design,it infrastructure management,it infrastructure management,it infrastructure operations,it infrastructure operations,it operations management,it project implementation,it project management,it relationship management,it risk management,it security assessments,it security operations,it security policies,it service delivery,it service management,it systems development,managing agency relationships,managing complex sales,managing key accounts,managing media relations,managing offshore teams,managing project budgets,public key infrastructure,remote infrastructure management,virtual desktop infrastructure",1,35,20
managing processes,subsuper,"administrative processes,assembly processes,managing accounts,managing database,managing deadlines,managing events,managing finances,managing meetings,manufacturing processes,operations processes,processes development,purchasing processes,refining processes,service processes,managing agency relationships,managing complex sales,managing it infrastructure,managing key accounts,managing media relations,managing offshore teams,managing project budgets,new hire processes,quality assurance processes,quality improvement processes,streamlining work processes",5,40,21
manufacture,no_filter,,144,89,71
margin,subsuper,gross margin,540,264,1491
marine,subsuper,"inland marine,marine electronics,marine engineering,marine industry,marine insurance,marine mammals,marine operations,marine propulsion,marine safety,marine salvage,marine structures,marine survey,marine systems",733,3154,1043
market intelligence,subsuper,"intelligence,artificial intelligence,business intelligence,competitive intelligence,competitor intelligence,computational intelligence,cultural intelligence,customer intelligence,emotional intelligence,intelligence analysis,japanese market,location intelligence,market access,market analysis,market assessments,market data,market development,market entry,market insights,market knowledge,market making,market mapping,market microstructure,market penetration,market planning,market pricing,market research,market risk,market sizing,marketing intelligence,money market,securities market,security intelligence,stock market,strategic intelligence,threat intelligence,web intelligence,business intelligence projects,business intelligence software,business intelligence tools,direct market access,labour market research,mark to market,market risk management,oracle business intelligence,post market surveillance,qualitative market research,sap business intelligence",404,103,87
marketing digital,subsuper,"digital,affiliate marketing,alliance marketing,b2b marketing,b2c marketing,brand marketing,casino marketing,cause marketing,channel marketing,cloud marketing,communication marketing,community marketing,consumer marketing,content marketing,corporate marketing,customer marketing,database marketing,destination marketing,digital activation,digital advertising,digital analytics,digital archiving,digital art,digital audio,digital banking,digital branding,digital cameras,digital certificates,digital channels,digital cinema,digital communication,digital copiers,digital design,digital designs,digital distribution,digital electronics,digital fabrication,digital forensics,digital imaging,digital innovation,digital learning,digital literacy,digital marketing,digital marketing,digital media,digital pathology,digital photography,digital printing,digital production,digital publishing,digital radiography,digital recording,digital security,digital signage,digital signatures,digital storytelling,digital strategy,digital transformation,digital tv,digital video,direct marketing,electronic marketing,email marketing,enterprise marketing,event marketing,events marketing,experiential marketing,facebook marketing,fashion marketing,field marketing,global marketing,healthcare marketing,inbound marketing,influencer marketing,integrated marketing,interactive marketing,internal marketing,international marketing,internet marketing,legal marketing,linkedin marketing,local marketing,loyalty marketing,management marketing,marketing activation,marketing analytics,marketing automation,marketing budget,marketing communication,marketing communications,marketing concepts,marketing consulting,marketing copy,marketing effectiveness,marketing intelligence,marketing international,marketing leadership,marketing management,marketing materials,marketing mix,marketing online,marketing operations,marketing reporting,marketing research,marketing roi,marketing social,marketing strategy,marketing support,media marketing,medical marketing,mobile marketing,network marketing,offline marketing,online marketing,outbound marketing,partner marketing,partnership marketing,product marketing,project marketing,promotional marketing,property marketing,recruitment marketing,regional marketing,relationship marketing,restaurant marketing,retail marketing,search marketing,segment marketing,services marketing,shopper marketing,social marketing,solutions marketing,sponsorship marketing,sports marketing,strategic marketing,target marketing,technical marketing,technology marketing,tourism marketing,trade marketing,travel marketing,vertical marketing,video marketing,viral marketing,web marketing,adobe marketing cloud,cross channel marketing,designing marketing collateral,digital asset management,digital business development,digital direct marketing,digital direct marketing,digital ic design,digital imaging software,digital marketing experience,digital marketing experience,digital matte painting,digital media sales,digital media services,digital project management,digital recording equipment,digital signal processing,digital video recorders,email marketing software,event based marketing,high speed digital,integrated marketing communications,integrated marketing plans,marketing and sales,marketing budget management,marketing campaign management,marketing communications planning,new media marketing,performance based marketing,sales and marketing,search engine marketing,social media marketing,web marketing strategy",27,70,65
marketing online,subsuper,"affiliate marketing,alliance marketing,b2b marketing,b2c marketing,brand marketing,casino marketing,cause marketing,channel marketing,cloud marketing,communication marketing,community marketing,consumer marketing,content marketing,corporate marketing,customer marketing,database marketing,destination marketing,digital marketing,direct marketing,electronic marketing,email marketing,enterprise marketing,event marketing,events marketing,experiential marketing,facebook marketing,fashion marketing,field marketing,global marketing,healthcare marketing,inbound marketing,influencer marketing,integrated marketing,interactive marketing,internal marketing,international marketing,internet marketing,legal marketing,linkedin marketing,local marketing,loyalty marketing,management marketing,marketing activation,marketing analytics,marketing automation,marketing budget,marketing communication,marketing communications,marketing concepts,marketing consulting,marketing copy,marketing digital,marketing effectiveness,marketing intelligence,marketing international,marketing leadership,marketing management,marketing materials,marketing mix,marketing operations,marketing reporting,marketing research,marketing roi,marketing social,marketing strategy,marketing support,media marketing,medical marketing,mobile marketing,network marketing,offline marketing,online advertising,online branding,online communications,online communities,online content,online databases,online fraud,online gaming,online help,online marketing,online marketing,online marketplace,online news,online operations,online payment,online payments,online platforms,online pr,online publishing,online research,online retail,online sales,online training,online travel,online video,outbound marketing,partner marketing,partnership marketing,product marketing,project marketing,promotional marketing,property marketing,recruitment marketing,regional marketing,relationship marketing,restaurant marketing,retail marketing,search marketing,segment marketing,services marketing,shopper marketing,social marketing,solutions marketing,sponsorship marketing,sports marketing,strategic marketing,target marketing,technical marketing,technology marketing,tourism marketing,trade marketing,travel marketing,vertical marketing,video marketing,viral marketing,web marketing,adobe marketing cloud,cross channel marketing,designing marketing collateral,digital direct marketing,digital marketing experience,email marketing software,event based marketing,integrated marketing communications,integrated marketing plans,marketing and sales,marketing budget management,marketing campaign management,marketing communications planning,new media marketing,online business management,online campaign management,online community management,online lead generation,online media buys,online reputation management,online social networking,online user experience,performance based marketing,sales and marketing,search engine marketing,social media marketing,web marketing strategy",12,39,15
masks,no_filter,,3,12,7
master mariner,subsuper,"master control,master data,master plan,master planning,master scheduling,scrum master,certified scrum master,master black belt,master data management,master of ceremonies",5,67,38
master of ceremonies,subsuper,"award ceremonies,master control,master data,master mariner,master plan,master planning,master scheduling,scrum master,basics of unix,bill of lading,bill of materials,board of directors,center of excellence,certified scrum master,code of conduct,code of ethics,community of practice,conflict of interest,design of experiment,design of experiments,development of employees,development of people,development of sales,development of strategy,fund of funds,internet of things,letter of credit,letters of credit,management of change,master black belt,master data management,mentoring of staff,ministry of defence,organization of events,philosophy of mind,point of purchase,powers of attorney,preparation of reports,proof of concept,rule of law,segregation of duties,sense of responsibility",1,0,0
master planning,subsuper,"account planning,adaptive planning,annual planning,budget planning,business planning,calendar planning,campaign planning,capacity planning,care planning,commercial planning,communications planning,compensation planning,comprehensive planning,conceptual planning,construction planning,contingency planning,corporate planning,cost planning,curriculum planning,demand planning,deployment planning,development planning,emergency planning,environmental planning,estate planning,event planning,events planning,family planning,financial planning,fleet planning,flight planning,forward planning,hyperion planning,infrastructure planning,insurance planning,inventory planning,investment planning,landscape planning,legacy planning,lesson planning,logistics planning,maintenance planning,manpower planning,market planning,master control,master data,master mariner,master plan,master scheduling,material planning,media planning,meeting planning,merchandise planning,occupancy planning,operational planning,policy planning,process planning,product planning,production planning,program planning,project planning,promotion planning,publication planning,purchase planning,regional planning,resource planning,retirement planning,rf planning,route planning,sales planning,scenario planning,scope planning,scrum master,service planning,site planning,space planning,spatial planning,sprint planning,strategic planning,strategy planning,succession planning,supply planning,tactical planning,tax planning,technology planning,tender planning,test planning,transition planning,transportation planning,travel planning,urban planning,workforce planning,advance care planning,business continuity planning,business recovery planning,capital project planning,career path planning,certified scrum master,demand supply planning,enterprise resource planning,global business planning,human resource planning,international tax planning,land use planning,life cycle planning,long range planning,marketing communications planning,master black belt,master data management,master of ceremonies,new store planning,personal financial planning,planning and organizing,planning and scheduling,project planning software,resource planning software,sap production planning,strategic business planning,strategic financial planning,supply network planning",30,31,15
masterplanning,no_filter,,3,2,2
measuring tapes,subsuper,precision measuring,2,0,0
mediterranean,no_filter,,5,3,5
meet deadlines,subsuper,managing deadlines,143,2247,1510
memory,subsuper,"flash memory,memory management",134,438,261
menswear,no_filter,,2,4,2
mentoring of staff,subsuper,"mentoring,coaching staff,leadership mentoring,staff augmentation,staff development,staff engagement,staff management,staff mentoring,staff mentoring,staff retention,staff supervision,staff training,team mentoring,train staff,basics of unix,bill of lading,bill of materials,board of directors,center of excellence,coaching and mentoring,code of conduct,code of ethics,community of practice,conflict of interest,design of experiment,design of experiments,development of employees,development of people,development of sales,development of strategy,fund of funds,internet of things,letter of credit,letters of credit,management of change,master of ceremonies,mentoring new hires,ministry of defence,organization of events,philosophy of mind,point of purchase,powers of attorney,preparation of reports,proof of concept,rule of law,segregation of duties,sense of responsibility",4,5,4
meticulous,no_filter,,435,13792,8125
middle east,subsuper,"middle management,middle office,middle school,east asian studies",355,173,110
minute taking,subsuper,"minutes taking,note taking,stock taking",25,11,7
mitsubishi,no_filter,,8,39,35
mixer,no_filter,,8,18,14
mobile money,subsuper,"mobile,jquery mobile,mobile advertising,mobile analytics,mobile applications,mobile apps,mobile banking,mobile broadband,mobile commerce,mobile communications,mobile computing,mobile content,mobile cranes,mobile design,mobile devices,mobile enterprise,mobile entertainment,mobile games,mobile internet,mobile learning,mobile marketing,mobile media,mobile messaging,mobile operators,mobile payments,mobile phones,mobile platforms,mobile security,mobile software,mobile solutions,mobile strategy,mobile technology,mobile telephony,mobile testing,mobile tv,money laundering,money management,money market,money transfers,sap mobile,windows mobile,anti money laundering,mobile app design,mobile application design,mobile application development,mobile data services,mobile device management,mobile phone industry,mobile web design,windows mobile devices",1,5,1
mobile phones,subsuper,"mobile,cell phones,ip phones,jquery mobile,mobile advertising,mobile analytics,mobile applications,mobile apps,mobile banking,mobile broadband,mobile commerce,mobile communications,mobile computing,mobile content,mobile cranes,mobile design,mobile devices,mobile enterprise,mobile entertainment,mobile games,mobile internet,mobile learning,mobile marketing,mobile media,mobile messaging,mobile money,mobile operators,mobile payments,mobile platforms,mobile security,mobile software,mobile solutions,mobile strategy,mobile technology,mobile telephony,mobile testing,mobile tv,sap mobile,smart phones,windows mobile,mobile app design,mobile application design,mobile application development,mobile data services,mobile device management,mobile phone industry,mobile web design,windows mobile devices",35,28,15
mom,no_filter,,475,1857,1204
money laundering,subsuper,"mobile money,money management,money market,money transfers,anti money laundering,anti money laundering",94,327,139
monitors,no_filter,,773,184,138
monorails,no_filter,,2,0,0
month end close,subsuper,"end mills,monthly close,end user computing,end user support,end user training,front end developers,monthly close process,year end accounts",117,22,17
monthly close,subsuper,"monthly accounts,monthly closing,monthly reporting,month end close,monthly close process,monthly close process",14,7,6
monthly closing,subsuper,"closing abilities,closing deals,monthly accounts,monthly close,monthly reporting,monthly close process",247,15,19
monthly reporting,subsuper,"actuate reporting,analytic reporting,bex reporting,board reporting,business reporting,client reporting,compliance reporting,consolidated reporting,cost reporting,court reporting,executive reporting,financial reporting,headcount reporting,incident reporting,investor reporting,management reporting,marketing reporting,mas reporting,metrics reporting,microstrategy reporting,mis reporting,monthly accounts,monthly close,monthly closing,performance reporting,progress reporting,quarterly reporting,regulatory reporting,reporting metrics,reporting software,reporting systems,reporting tool,sales reporting,sec reporting,statistical reporting,statutory reporting,sustainability reporting,tax reporting,ad hoc reporting,adverse event reporting,cash flow reporting,corporate financial reporting,group financial reporting,hyperion financial reporting,monthly close process,ms reporting services,project status reporting,us gaap reporting",252,61,21
motivation,subsuper,"performance motivation,team motivation",260,2357,1170
movement,no_filter,,564,151,138
ms words,subsuper,"ms access,ms crm,ms excel,ms exchange,ms office,ms outlook,ms powerpoint,ms project,ms sharepoint,ms sql,ms visio,ms word,ms crm 2011,ms crm 2013,ms excel vba,ms office 2010,ms office applications,ms office suite,ms office tools,ms power point,ms reporting services,ms sql server",74,2029,843
multi tasking,subsuper,multi function printers,133,2320,1429
multicultural,no_filter,,77,782,528
multitasker,no_filter,,2,12,19
multitasking skills,subsuper,"multitasking,analytical skills,at multitasking,clerical skills,clinical skills,communication skills,communicative skills,computer skills,coordinating skills,coordination skills,creativity skills,culinary skills,drawing skills,editorial skills,entrepreneurial skills,interpersonal skills,interview skills,interviewing skills,intrapersonal skills,it skills,keyboard skills,laboratory skills,language skills,leadership skills,life skills,listening skills,management skills,managerial skills,negotiation skills,organisational skills,organization skills,organizational skills,people skills,phone skills,powerpoint skills,presentation skills,prospecting skills,reasoning skills,secretarial skills,selling skills,social skills,soft skills,study skills,supervisory skills,teaching skills,telephone skills,training skills,writing skills,client facing skills,client interfacing skills,decision making skills,exceptional people skills,executive presentation skills,good communication skills,good interpersonal skills,great people skills,high analytical skills,interpersonal communication skills,problem solving skills,program management skills,proven leadership skills,public relations skills,report writing skills,sales skills training,solid computer skills,strategic selling skills,strong analytical skills,vendor management skills",4,86,0
musicians,no_filter,,6,6,2
myanmar,no_filter,,87,79,75
native,no_filter,,133,1033,862
needles,no_filter,,1,5,2
negociation,no_filter,,2,1,1
negotiation skills,subsuper,"negotiation,analytical skills,benefits negotiation,business negotiation,clerical skills,clinical skills,communication skills,communicative skills,computer skills,contract negotiation,coordinating skills,coordination skills,creativity skills,culinary skills,drawing skills,editorial skills,entrepreneurial skills,interpersonal skills,interview skills,interviewing skills,intrapersonal skills,it skills,keyboard skills,laboratory skills,language skills,leadership skills,life skills,listening skills,management skills,managerial skills,multitasking skills,negotiation skill,organisational skills,organization skills,organizational skills,people skills,phone skills,powerpoint skills,presentation skills,pricing negotiation,prospecting skills,purchasing negotiation,reasoning skills,salary negotiation,sales negotiation,secretarial skills,selling skills,social skills,soft skills,study skills,successful negotiation,supervisory skills,supplier negotiation,teaching skills,telephone skills,training skills,writing skills,client facing skills,client interfacing skills,decision making skills,exceptional people skills,executive presentation skills,good communication skills,good interpersonal skills,great people skills,high analytical skills,interpersonal communication skills,problem solving skills,program management skills,proven leadership skills,public relations skills,report writing skills,sales skills training,solid computer skills,strategic selling skills,strong analytical skills,vendor management skills",129,3129,0
network analyzers,subsuper,"core network,data network,engine analyzers,gas analyzers,network administration,network analysis,network analyzer,network architecture,network coding,network communications,network configuration,network connectivity,network deployment,network design,network devices,network engineering,network forensics,network hardware,network infrastructure,network installation,network management,network marketing,network operations,network optimization,network performance,network programming,network provisioning,network routers,network security,network services,network switches,network technology,network troubleshooting,network virtualization,optical network,oxygen analyzers,parametric analyzers,protocol analyzers,spectrum analyzers,cisco network devices,data network design,dealer network development,global network operations,local area network,network load balancing,network management applications,network management software,network monitoring software,network monitoring tools,network performance management,network security implementation,network traffic analysis,power quality analyzers,social network analysis,supply network planning,wireless network design",4,29,15
new product introduction,subsuper,"new leads,new media,new ventures,product analysis,product certification,product complaints,product control,product costing,product customization,product demonstration,product design,product development,product display,product distribution,product engineering,product evangelism,product forecasting,product innovation,product knowledge,product launch,product launches,product liability,product management,product marketing,product naming,product offerings,product optimization,product ordering,product owner,product planning,product presentation,product promotion,product quality,product requirements,product safety,product sampling,product sourcing,product specialists,product specification,product stewardship,product strategies,product strategy,product structuring,product support,product testing,product training,product transfer,building new business,customer product training,developing new markets,identifying new opportunities,introducing new products,mechanical product design,mentoring new hires,new account acquisition,new account opening,new business development,new business generation,new business opportunities,new customer acquisitions,new hire orientation,new hire orientations,new hire processes,new hire training,new media marketing,new media strategy,new product development,new product development,new product ideas,new product ideas,new product implementations,new product implementations,new product launch,new product launch,new product qualification,new product qualification,new product release,new product release,new program development,new store development,new store openings,new store planning,new technology evaluation,product cost analysis,product launch events,product life cycle,product lifecycle management,technical product management,technical product training,technology product development",156,61,64
new product launch,subsuper,"business launch,launch events,launch products,new leads,new media,new ventures,product analysis,product certification,product complaints,product control,product costing,product customization,product demonstration,product design,product development,product display,product distribution,product engineering,product evangelism,product forecasting,product innovation,product knowledge,product launch,product launch,product launches,product liability,product management,product marketing,product naming,product offerings,product optimization,product ordering,product owner,product planning,product presentation,product promotion,product quality,product requirements,product safety,product sampling,product sourcing,product specialists,product specification,product stewardship,product strategies,product strategy,product structuring,product support,product testing,product training,product transfer,building new business,customer product training,developing new markets,identifying new opportunities,introducing new products,mechanical product design,mentoring new hires,new account acquisition,new account opening,new business development,new business generation,new business opportunities,new customer acquisitions,new hire orientation,new hire orientations,new hire processes,new hire training,new media marketing,new media strategy,new product development,new product development,new product ideas,new product ideas,new product implementations,new product implementations,new product introduction,new product introduction,new product qualification,new product qualification,new product release,new product release,new program development,new store development,new store openings,new store planning,new technology evaluation,product cost analysis,product launch events,product launch events,product life cycle,product lifecycle management,technical product management,technical product training,technology product development",69,13,11
news,subsuper,"breaking news,business news,news analysis,online news,tv news production",446,284,226
newspaper,no_filter,,51,7,6
next generation sequencing,subsuper,"sequencing,alpha generation,candidate generation,concept generation,demand generation,distributed generation,dna sequencing,genome sequencing,idea generation,insight generation,lead generation,pipeline generation,power generation,proposal generation,report generation,traffic generation,new business generation,online lead generation,power generation engines,power generation equipment",85,76,34
non destructive testing,subsuper,"acceptance testing,agile testing,api testing,application testing,automation testing,compatibility testing,compliance testing,component testing,database testing,drug testing,electrical testing,environmental testing,etl testing,exploratory testing,field testing,functional testing,game testing,gui testing,hardware testing,hydrostatic testing,hypothesis testing,installation testing,integration testing,leak testing,load testing,mainframe testing,manual testing,materials testing,mechanical testing,mobile testing,multivariate testing,penetration testing,performance testing,personality testing,product testing,psychological testing,qualification testing,recipe testing,regression testing,sanity testing,sap testing,security testing,smoke testing,soa testing,software testing,stability testing,stress testing,system testing,tensile testing,testing process,testing services,testing software,testing tools,uat testing,ultrasonic testing,unit testing,usability testing,vibration testing,water testing,web testing,automated software testing,black box testing,design verification testing,liquid penetrant testing,magnetic particle testing,risk based testing,system integration testing,testing and commissioning,unit testing software,user acceptance testing,white box testing,wind tunnel testing",14,16,19
north america,subsuper,"latin america,south america",217,84,54
obesity,no_filter,,71,23,1
occupational first aid,subsuper,"first aid,first aid,first aider,first responder,occupational health,occupational therapists,occupational therapy,first aid equipment,first aid equipment,first aid kits,first aid kits,first aid training,first aid training,first article inspection",1,14,9
offices,no_filter,,1821,950,562
offset,subsuper,offset printing,18,252,134
online user experience,subsuper,"branding experience,coding experience,customer experience,experience design,global experience,laboratory experience,managerial experience,marketing online,offshore experience,online advertising,online branding,online communications,online communities,online content,online databases,online fraud,online gaming,online help,online marketing,online marketplace,online news,online operations,online payment,online payments,online platforms,online pr,online publishing,online research,online retail,online sales,online training,online travel,online video,overseas experience,professional experience,supervisory experience,teaching experience,user documentation,user exits,user experience,user experience,user interaction,user interface,user journeys,user management,user requirements,user research,user scenarios,user stories,user training,active directory experience,adobe experience manager,cash handling experience,clinical research experience,customer experience design,customer experience management,digital marketing experience,end user computing,end user support,end user training,financial management experience,online business management,online campaign management,online community management,online lead generation,online media buys,online reputation management,online social networking,remote user support,retail sales experience,sap super user,user acceptance testing,user experience design,user experience design,user interface design,user interface programming,vendor management experience",3,3,1
online video,subsuper,"video,digital video,flash video,marketing online,online advertising,online branding,online communications,online communities,online content,online databases,online fraud,online gaming,online help,online marketing,online marketplace,online news,online operations,online payment,online payments,online platforms,online pr,online publishing,online research,online retail,online sales,online training,online travel,video advertising,video analytics,video camera,video cameras,video coding,video compression,video conferencing,video editing,video encoding,video games,video marketing,video processing,video production,video projectors,video recorders,video shooting,web video,digital video recorders,online business management,online campaign management,online community management,online lead generation,online media buys,online reputation management,online social networking,online user experience,video editing software,video game consoles,video game development",8,33,14
onshore,no_filter,,227,603,207
open minded,subsuper,"open access,open innovation,open mind,open office,open source,open source platforms,open source software",35,439,387
